name,idf,imdb_score,genres,release,countries,directors,actors,summary
My Darling Clementine 1946,https://www.imdb.com/title/tt0038762,7.7,"['درام', 'عاشقانه', 'وسترن']",1946,['آمریکا'],['John Ford'],"['Henry Fonda', 'Linda Darnell', 'Victor Mature']",« وایات ارپ » ( فاندا ) كلانتر شهر تومستون مى‏ شود تا با كمك « داك هالیدى » دائم الخمر ( ماتیور ) ، انتقام مرگ برادرش را بگیرد . سرانجام كار « وایات » به دوئل با خانواده شرارت پیشه‏ ى « كلانتن » ( كه عامل مرگ برادرش بوده‏ اند ) در اوكى كورال مى‏ كشد...
My Days of Mercy 2017,https://www.imdb.com/title/tt5978724,,"['درام', 'رمانتیک']",2017,"['آمریکا', 'انگلستان']",['tali shalom-ezer'],"['Elliot Page', 'kate mara', 'amy seimetz']",پدر لوسی که به جرم قتل به قصاص محکوم شده است در زندان در صف اعدام ه سر میبرد، در این بین لوسی دخترک نا امید و در پی راهی برای نجات او است که در این میان...
My Dinner with Andre 1981,https://www.imdb.com/title/tt0082783,7.7,"['درام', 'کمدی']",1981,['آمریکا'],['Louis Malle'],"['Andre Gregory', 'Wallace Shawn', 'Jean Lenauer']",دو دوست قدیمی برای شام ملاقات می کنند. همانطور که یکی حکایت هایی را بیان می کند که تجربیات خود را به تفصیل بیان می کند، دیگری متوجه جهان بینی های متفاوت آنها می شود...
My Dinner with Herve 2018,https://www.imdb.com/title/tt1311076,,"['بیوگرافی', 'درام']",2018,['آمریکا'],['sacha gervasi'],"['peter dinklage', 'jamie dornan', 'frida munting']",این فیلم داستان یک رابطه دوستی میان یک روزنامه‌نگار جنگنده به نام دنی تیت (جیمی دورنان) و یک بازیگر به نام اروه ویلشز (پیتر دینکلیج) در یک شب طوفانی لس آنجلس را به تصویر می‌کشد. اروه ویلشز یکی از معروف‌ترین کوتوله‌های جهان است که در آن شب زندگی هر دو آن‌ها تغییر پیدا خواهد کرد.
My Father and My Son 2005,https://www.imdb.com/title/tt0476735,8.2,"['خانوادگی', 'درام']",2005,['ترکیه'],['Çagan irmak'],"['Eser Sariyar', 'Çetin tekindor', 'fikret kuskan']","""سدیک"" جوانی سرکش است که در دانشگاه به فعالیتهای سیاسی مشغول بوده و تبدیل به یک خبرنگار جناه چپ در دهه 70 می شود در حالی که پدرش دوست داشته او مهندس کشاورزی شده و کنترل مزرعه خانوادگی شان را به عهده بگیرد.در صبح 12 سپتامبر سال 1980 وقتی کشور درگیر یک کودتا است آنها نمی توانند خود را به بیمارستان و پزشک برسانند و..."
My Father's Violin 2022,https://www.imdb.com/title/tt14369276,,['درام'],2022,['ترکیه'],['Andaç Haznedaroglu'],"['Engin Altan Düzyatan', 'belçim bilgin', 'Gülizar Nisa Uray']",داستان یک دختر یتیم شده که در دوران غم و اندوه رابطه‌اش با عموی منزوی‌اش که یک ویولن‌نواز ماهر و موفق است صمیمی‌تر و بیشتر می‌شود.
My First Client 2019,https://www.imdb.com/title/tt10308634,7.3,"['درام', 'درام']",2019,['کره جنوبی'],['Kyu-sung Jang'],"['Dong-hwi Lee', 'Seon Yu', 'Myung-Bin Choi']",یک وکیل تشنه موفقیت با خواهر و برادر جوانی ملاقات میکند که از آزار و اذیت خانگی رنج میبرند…
My Friend Dahmer 2017,https://www.imdb.com/title/tt2291540,,"['بیوگرافی', 'ترسناک', 'درام']",2017,['آمریکا'],['Marc Meyers'],"['ross lynch', 'alex wolff', 'Anne Heche']",داستان دانش آموزی به نام جفری دورم جوان که در تلاش است تا در دبیرستان برای خود کسی شود.
My Friends 1975,https://www.imdb.com/title/tt0072637,8,"['درام', 'کمدی']",1975,['ایتالیا'],['Mario Monicelli'],"['Ugo Tognazzi', 'Gastone Moschin', 'Philippe Noiret']","""نِکی""، ""پِروتزی""، ""مِلاندری"" و ""ماشِتی"" در فلورانس زندگی میکنند. آنها از سال های جوانی با یکدیگر دوست بوده اند و از هر فرصتی برای ساختن جوک های ناجور پشت سر مردم استفاده میکردند..."
My Girl 1991,https://www.imdb.com/title/tt0102492,,"['خانوادگی', 'درام', 'عاشقانه', 'کمدی']",1991,['آمریکا'],['Howard Zieff'],"['Anna Chlumsky', 'Macaulay Culkin', 'Dan Aykroyd']",فیلم در مورد دختربچه ای بنام «وادا» است که مادرش هنگام بدنیا آمدن او مرده است و پدرش در قبرستان کار می کند. بهترین دوست وادا پسری بنام «توماس» است که به همه چیز حساسیت دارد...
My Happy Marriage 2023,https://www.imdb.com/title/tt19869122,,"['تاریخی', 'درام', 'عاشقانه', 'فانتزی']",2023,['ژاپن'],['Ayuko Tsukahara'],"['Manabu Hamada', 'Shôhei Hino', 'Yusuke Hirayama']",داستان زنی ناراضی از زندگی از خانواده‌ای سوءاستفاده‌گر که اجباراً با یک فرمانده ارتش با ابهت ازدواج می‌کند. رفته رفته این دو بیشتر هم را می‌شناسند و...
My Imaginary Country 2022,https://www.imdb.com/title/tt19797494,7.2,['مستند'],2022,"['دانلود فیلم My Imaginary Country 2022', '', 'شیلی', 'فرانسه']",['Patricio Guzmán'],[],روایت اعتراضات 2019 که در خیابان های پایتخت شیلی سانتیاگو اتفاق افتاد...
My Life to Live 1962,https://www.imdb.com/title/tt0056663,7.8,['درام'],1962,['فرانسه'],['Jean-Luc Godard'],"['Anna Karina', 'Sady Rebbot', 'André S. Labarthe']",نانا در یک مغازه صفحه‌فروشی کار می‌کند. او آرزو دارد هنرپیشه سینما بشود. بعد از این که با دوست‌پسرش قطع رابطه می‌کند، به فاحشگی رو می‌آورد. رائول که پاانداز است او را زیر بال و پرش می‌گیرد و شیوه‌های کسب و کار را یادش می‌دهد...
My Man Godfrey 1936,https://www.imdb.com/title/tt0028010,8,"['درام', 'عاشقانه', 'کمدی']",1936,['آمریکا'],['Gregory La Cava'],"['William Powell', 'Carole Lombard', 'Alice Brady']",یک اجتماع پراکنده ، یک ولگرد را به عنوان یک پیشخدمت خانوادگی استخدام می کند - اما در مورد گادفری چیزهای چشمگیر دیگری وجود دارد
My Mistress 2014,https://www.imdb.com/title/tt2622874,,"['درام', 'عاشقانه']",2014,['استرالیا'],['Stephen Lance'],"['Harrison Gilbertson', 'emmanuelle béart', 'Anna Ryan']",رابطه عاشقانه و پنهانی یک نوجوان آسیب پذیر و یک زن بزرگتر از او به مرور خطرناکتر شده و ...
My Name Is Vendetta 2022,https://www.imdb.com/title/tt15229674,,"['اکشن', 'جنایی', 'درام']",2022,['ایتالیا'],['Cosimo Gomez'],"['Alessandro Gassmann', 'Ginevra Francesconi', 'alessio praticò']",یک عضو مافیا زمانی که خانواده‌اش به قتل می‌رسد، با دخترش به میلان فرار می‌کنند و مخفی می‌شوند و نقشه‌ی انتقام می‌کشند.
My Own Private Idaho 1991,https://www.imdb.com/title/tt0102494,,['درام'],1991,['آمریکا'],['gus van sant'],"['River Phoenix', 'keanu reeves', 'James Russo']",«مایک» (فینیکس)، پسری تنها و غشی است که به دنبال مادری می گردد که سال ها ندیده. او با «اسکات» (ریوز)، پسر متمرد شهردار پورتلند آشنا می شود و آن دو ماجراجویی های متفاوتی را تجربه می کنند…
My Policeman 2022,https://www.imdb.com/title/tt13139228,,"['درام', 'عاشقانه', 'درام', 'عاشقانه']",2022,"['آمریکا', 'انگلستان']",['Michael Grandage'],"['Harry Styles', 'Emma Corrin', 'Gina McKee']",داستان فیلم در دهه 50 میلادی اتفاق می افتد و داستان پلیسی به نام «تام برجس» را روایت می کند که درحالی که با یک متصدی موزه به نام «پاتریک هزلوود» در رابطه است با یک معلم به نام «ماریون تیلور» ازدواج می کند. رازی که آن ها پنهان نگه داشته اند احتمال دارد زندگی همه را خراب کند
My Pure Land 2017,https://www.imdb.com/title/tt4489562,,"['درام', 'هیجان انگیز']",2017,"['انگلستان', 'پاکستان']",['sarmad masud'],"['suhaee abro', 'eman malik', 'razia malik']",سه زن از خانه خود در مقابل گروهی از مردان مسلح که می خواهند به حریم آنها وارد شوند، دفاع می کنند.
My Salinger Year 2020,https://www.imdb.com/title/tt2222052,,['درام'],2020,"['ایرلند', 'کانادا']",['Philippe Falardeau'],"['margaret qualley', 'sigourney weaver', 'Douglas Booth']","یک فارغ‌التحصیل دانشگاهی، منشی نویسنده معروف و منزوی"" جی. دی. سالینجر"" می‌شود."
My Sassy Girl 2001,https://www.imdb.com/title/tt0293715,8,"['درام', 'عاشقانه', 'کمدی']",2001,['کره جنوبی'],['jae-young kwak'],"['tae-hyun cha', 'Jun Ji-Hyun', 'In-mun Kim']",داستان مردی که در ایستگاه مترو سئول زنی زیبا اما مست را می‌بیند که زیاد به ریل قطار نزدیک ایستاده و او را عقب می‌کشد و...
My Small Land 2022,https://www.imdb.com/title/tt16410620,7.1,['درام'],2022,"['ژاپن', 'فرانسه']",['Emma Kawawada'],"['Lina Arashi', 'Takashi Fujii', 'sei hiraizumi']",ساریا یک دختر 17 ساله‌ی کردی پناهنده‌ی ژاپن است که زندگی خوبی دارد و در مدرسه نیز موفق است تا اینکه زندگی‌اش با عوض شدن وضعیت پناهندگی خود و خانواده‌اش زیر و رو می‌شود.
